"Using formulas (SUM, AVG,Concat) , basic formatting",,,,,,,,,,,
Sl no,Firstname,Last name,DOJ,Sal- Jan,Sal- Feb,Sal-Mar,Sal-Total,Avg Sal,Full name,,
1,RNM,Kumar,26 January 2015,1500,1200,1500,4200,1400.0,RNM  Kumar,,
2,Gopal,Verma,07 August 2017,1700,1800,2000,5500,1833.3,Gopal  Verma,,
3,Joseph,Paul,08 March 2012,1800,1500,1900,5200,1733.3,Joseph  Paul,,
4,Hari,Singh,29 October 2018,1200,1500,1800,4500,1500.0,Hari  Singh,,
6,Raja,Ram,08 March 2012,2000,2500,2900,7400,2466.7,Raja  Ram,,
,,,,,,,,,,,
,,,,,,,,,,,
Sort and filter,,,,,,,,,,,
Sl no,Firstname,Last name,DOJ,Sal- Jan,Sal- Feb,Sal-Mar,Sal-Total,,,,
6,Raja,Ram,08 March 2012,2000,2500,2900,7400,,,,
2,Gopal,Verma,07 August 2017,1700,1800,2000,5500,,,,
3,Joseph,Paul,08 March 2012,1800,1500,1900,5200,,,,
4,Hari,Singh,29 October 2018,1200,1500,1800,4500,,,,
1,RNM,Kumar,26 January 2015,1500,1200,1500,4200,,,,
,,,,,,,,,,,
Sort data on column -> and add Conditional formatting->color scales,,,,,,,,,,,
Sl no,Firstname,Last name,DOJ,Sal- Jan,Sal- Feb,Sal-Mar,Sal-Total,Avg Sal,Full name,,
6,Raja,Ram,08 March 2012,2000,2500,2900,7400,2466.7,Raja  Ram,,
2,Gopal,Verma,07 August 2017,1700,1800,2000,5500,1833.3,Gopal  Verma,,
3,Joseph,Paul,08 March 2012,1800,1500,1900,5200,1733.3,Joseph  Paul,,
4,Hari,Singh,29 October 2018,1200,1500,1800,4500,1500.0,Hari  Singh,,
1,RNM,Kumar,26 January 2015,1500,1200,1500,4200,1400.0,RNM  Kumar,,
,,,,,,,,,,,
,,,,,,,,,,,
Find and remove duplicates,,,,,,,,,,,
Sl no,Firstname,Last name,DOJ,Sal- Jan,Sal- Feb,Sal-Mar,Sal-Total,Avg Sal,Full name,,
1,RNM,Kumar,26 January 2015,1500,1200,1500,4200,1400.0,RNM  Kumar,,
2,Gopal,Verma,07 August 2017,1700,1800,2000,5500,1833.3,Gopal  Verma,,
3,Joseph,Paul,08 March 2012,1800,1500,1900,5200,1733.3,Joseph  Paul,,
4,Hari,Singh,29 October 2018,1200,1500,1800,4500,1500.0,Hari  Singh,,
5,RNM,Kumar,26 January 2015,1500,1200,1500,4200,1400.0,RNM  Kumar,,
6,Raja,Ram,08 March 2012,2000,2500,2900,7400,2466.7,Raja  Ram,,
,,,,,,,,,,,
Merge and center,,,,,,,,,,,
,,,,,,,,,,,
,Round,,,,,,,,,,
,Numbers,Round,Round Up,Round Down,,,,,,,
,1400.3333,1400,1401,1400,,,,,,,
,1833.333,1833.33,1834,1833,,,,,,,
,1733.33,1733.3,1734,1733,,,,,,,
,1500,1500,1500,1500,,,,,,,
